id;ubigeo_reniec;ubigeo_inei;departamento_inei;departamento;provincia_inei;provincia;distrito
1;010101;010101;01;AMAZONAS;0101;CHACHAPOYAS;CHACHAPOYAS
2;010102;010102;01;AMAZONAS;0101;CHACHAPOYAS;ASUNCION
3;010103;010103;01;AMAZONAS;0101;CHACHAPOYAS;BALSAS
4;010104;010104;01;AMAZONAS;0101;CHACHAPOYAS;CHETO
5;010105;010105;01;AMAZONAS;0101;CHACHAPOYAS;CHILIQUIN
6;010106;010106;01;AMAZONAS;0101;CHACHAPOYAS;CHUQUIBAMBA
7;010107;010107;01;AMAZONAS;0101;CHACHAPOYAS;GRANADA
8;010108;010108;01;AMAZONAS;0101;CHACHAPOYAS;HUANCAS
9;010109;010109;01;AMAZONAS;0101;CHACHAPOYAS;LA JALCA
10;010110;010110;01;AMAZONAS;0101;CHACHAPOYAS;LEIMEBAMBA
11;010111;010111;01;AMAZONAS;0101;CHACHAPOYAS;LEVANTO
12;010112;010112;01;AMAZONAS;0101;CHACHAPOYAS;MAGDALENA
13;010113;010113;01;AMAZONAS;0101;CHACHAPOYAS;MARISCAL CASTILLA
14;010114;010114;01;AMAZONAS;0101;CHACHAPOYAS;MOLINOPAMPA
15;010115;010115;01;AMAZONAS;0101;CHACHAPOYAS;MONTEVIDEO
16;010116;010116;01;AMAZONAS;0101;CHACHAPOYAS;OLLEROS
17;010117;010117;01;AMAZONAS;0101;CHACHAPOYAS;QUINJALCA
18;010118;010118;01;AMAZONAS;0101;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS
19;010119;010119;01;AMAZONAS;0101;CHACHAPOYAS;SAN ISIDRO DE MAINO
20;010120;010120;01;AMAZONAS;0101;CHACHAPOYAS;SOLOCO
21;010121;010121;01;AMAZONAS;0101;CHACHAPOYAS;SONCHE
22;010205;010201;01;AMAZONAS;0102;BAGUA;BAGUA
23;010202;010202;01;AMAZONAS;0102;BAGUA;ARAMANGO
24;010203;010203;01;AMAZONAS;0102;BAGUA;COPALLIN
25;010204;010204;01;AMAZONAS;0102;BAGUA;EL PARCO
26;010206;010205;01;AMAZONAS;0102;BAGUA;IMAZA
27;010201;010206;01;AMAZONAS;0102;BAGUA;LA PECA
28;010301;010301;01;AMAZONAS;0103;BONGARA;JUMBILLA
29;010304;010302;01;AMAZONAS;0103;BONGARA;CHISQUILLA
30;010305;010303;01;AMAZONAS;0103;BONGARA;CHURUJA
31;010302;010304;01;AMAZONAS;0103;BONGARA;COROSHA
32;010303;010305;01;AMAZONAS;0103;BONGARA;CUISPES
33;010306;010306;01;AMAZONAS;0103;BONGARA;FLORIDA
34;010312;010307;01;AMAZONAS;0103;BONGARA;JAZAN
35;010307;010308;01;AMAZONAS;0103;BONGARA;RECTA
36;010308;010309;01;AMAZONAS;0103;BONGARA;SAN CARLOS
37;010309;010310;01;AMAZONAS;0103;BONGARA;SHIPASBAMBA
38;010310;010311;01;AMAZONAS;0103;BONGARA;VALERA
39;010311;010312;01;AMAZONAS;0103;BONGARA;YAMBRASBAMBA
40;010601;010401;01;AMAZONAS;0104;CONDORCANQUI;NIEVA
41;010603;010402;01;AMAZONAS;0104;CONDORCANQUI;EL CENEPA
42;010602;010403;01;AMAZONAS;0104;CONDORCANQUI;RIO SANTIAGO
43;010401;010501;01;AMAZONAS;0105;LUYA;LAMUD
44;010402;010502;01;AMAZONAS;0105;LUYA;CAMPORREDONDO
45;010403;010503;01;AMAZONAS;0105;LUYA;COCABAMBA
46;010404;010504;01;AMAZONAS;0105;LUYA;COLCAMAR
47;010405;010505;01;AMAZONAS;0105;LUYA;CONILA
48;010406;010506;01;AMAZONAS;0105;LUYA;INGUILPATA
49;010407;010507;01;AMAZONAS;0105;LUYA;LONGUITA
50;010408;010508;01;AMAZONAS;0105;LUYA;LONYA CHICO
51;010409;010509;01;AMAZONAS;0105;LUYA;LUYA
52;010410;010510;01;AMAZONAS;0105;LUYA;LUYA VIEJO
53;010411;010511;01;AMAZONAS;0105;LUYA;MARIA
54;010412;010512;01;AMAZONAS;0105;LUYA;OCALLI
55;010413;010513;01;AMAZONAS;0105;LUYA;OCUMAL
56;010414;010514;01;AMAZONAS;0105;LUYA;PISUQUIA
57;010423;010515;01;AMAZONAS;0105;LUYA;PROVIDENCIA
58;010415;010516;01;AMAZONAS;0105;LUYA;SAN CRISTOBAL
59;010416;010517;01;AMAZONAS;0105;LUYA;SAN FRANCISCO DEL YESO
60;010417;010518;01;AMAZONAS;0105;LUYA;SAN JERONIMO
61;010418;010519;01;AMAZONAS;0105;LUYA;SAN JUAN DE LOPECANCHA
62;010419;010520;01;AMAZONAS;0105;LUYA;SANTA CATALINA
63;010420;010521;01;AMAZONAS;0105;LUYA;SANTO TOMAS
64;010421;010522;01;AMAZONAS;0105;LUYA;TINGO
65;010422;010523;01;AMAZONAS;0105;LUYA;TRITA
66;010501;010601;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;SAN NICOLAS
67;010503;010602;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;CHIRIMOTO
68;010502;010603;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;COCHAMAL
69;010504;010604;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;HUAMBO
70;010505;010605;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;LIMABAMBA
71;010506;010606;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;LONGAR
72;010508;010607;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES
73;010507;010608;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;MILPUC
74;010509;010609;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;OMIA
75;010510;010610;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;SANTA ROSA
76;010511;010611;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;TOTORA
77;010512;010612;01;AMAZONAS;0106;RODRIGUEZ DE MENDOZA;VISTA ALEGRE
78;010701;010701;01;AMAZONAS;0107;UTCUBAMBA;BAGUA GRANDE
79;010702;010702;01;AMAZONAS;0107;UTCUBAMBA;CAJARURO
80;010703;010703;01;AMAZONAS;0107;UTCUBAMBA;CUMBA
81;010704;010704;01;AMAZONAS;0107;UTCUBAMBA;EL MILAGRO
82;010705;010705;01;AMAZONAS;0107;UTCUBAMBA;JAMALCA
83;010706;010706;01;AMAZONAS;0107;UTCUBAMBA;LONYA GRANDE
84;010707;010707;01;AMAZONAS;0107;UTCUBAMBA;YAMON
85;020101;020101;02;ANCASH;0201;HUARAZ;HUARAZ
86;020103;020102;02;ANCASH;0201;HUARAZ;COCHABAMBA
87;020104;020103;02;ANCASH;0201;HUARAZ;COLCABAMBA
88;020105;020104;02;ANCASH;0201;HUARAZ;HUANCHAY
89;020102;020105;02;ANCASH;0201;HUARAZ;INDEPENDENCIA
90;020106;020106;02;ANCASH;0201;HUARAZ;JANGAS
91;020107;020107;02;ANCASH;0201;HUARAZ;LA LIBERTAD
92;020108;020108;02;ANCASH;0201;HUARAZ;OLLEROS
93;020109;020109;02;ANCASH;0201;HUARAZ;PAMPAS
94;020110;020110;02;ANCASH;0201;HUARAZ;PARIACOTO
95;020111;020111;02;ANCASH;0201;HUARAZ;PIRA
96;020112;020112;02;ANCASH;0201;HUARAZ;TARICA
97;020201;020201;02;ANCASH;0202;AIJA;AIJA
98;020203;020202;02;ANCASH;0202;AIJA;CORIS
99;020205;020203;02;ANCASH;0202;AIJA;HUACLLAN
100;020206;020204;02;ANCASH;0202;AIJA;LA MERCED
101;020208;020205;02;ANCASH;0202;AIJA;SUCCHA
102;021601;020301;02;ANCASH;0203;ANTONIO RAYMONDI;LLAMELLIN
103;021602;020302;02;ANCASH;0203;ANTONIO RAYMONDI;ACZO
104;021603;020303;02;ANCASH;0203;ANTONIO RAYMONDI;CHACCHO
105;021604;020304;02;ANCASH;0203;ANTONIO RAYMONDI;CHINGAS
106;021605;020305;02;ANCASH;0203;ANTONIO RAYMONDI;MIRGAS
107;021606;020306;02;ANCASH;0203;ANTONIO RAYMONDI;SAN JUAN DE RONTOY
108;021801;020401;02;ANCASH;0204;ASUNCION;CHACAS
109;021802;020402;02;ANCASH;0204;ASUNCION;ACOCHACA
110;020301;020501;02;ANCASH;0205;BOLOGNESI;CHIQUIAN
111;020302;020502;02;ANCASH;0205;BOLOGNESI;ABELARDO PARDO LEZAMETA
112;020321;020503;02;ANCASH;0205;BOLOGNESI;ANTONIO RAYMONDI
113;020304;020504;02;ANCASH;0205;BOLOGNESI;AQUIA
114;020305;020505;02;ANCASH;0205;BOLOGNESI;CAJACAY
115;020322;020506;02;ANCASH;0205;BOLOGNESI;CANIS
116;020323;020507;02;ANCASH;0205;BOLOGNESI;COLQUIOC
117;020325;020508;02;ANCASH;0205;BOLOGNESI;HUALLANCA
118;020311;020509;02;ANCASH;0205;BOLOGNESI;HUASTA
119;020310;020510;02;ANCASH;0205;BOLOGNESI;HUAYLLACAYAN
